drug_name,genes_targeted
SPECTINOMYCIN HYDROCHLORIDE,1
SPIRAMYCIN,1
SPRI3,1
SRX246,1
SSR126768A,1
STAUROSPORINE,1
STAVUDINE,1
STREPTOMYCIN SULFATE,1
ZM447439,1
SULFASALAZINE,1
SULFINPYRAZONE,1
SUTEZOLID,1
ZONISAMIDE,1
T134,1
T140,1
T22,1
TAK-632,1
TALABOSTAT,1
TASQUINIMOD,1
TBO-FILGRASTIM,1
TEBENTAFUSP,1
TEDIZOLID,1
TEDIZOLID PHOSPHATE,1
TELITHROMYCIN,1
TENELIGLIPTIN,1
TERBINAFINE,1
TESTOSTERONE,1
TETANUS ANTITOXIN,1
TETRACYCLINE,1
TETRACYCLINE HYDROCHLORIDE,1
TETRACYCLINE PHOSPHATE COMPLEX,1
[125I]3-N3-PHPA-LVA,1
ANGIOGENESIS INHIBITOR,1
ANTI-C-FMS MONOCLONAL ANTIBODY AMG 820,1
THERAPEUTIC ANDROSTANOLONE,1
THERAPEUTIC GLUCOCORTICOID,1
THERAPEUTIC HORMONE,1
THERAPEUTIC TUMOR INFILTRATING LYMPHOCYTES,1
THYMOSIN BETA-4,1
THYROGLOBULIN,1
ANTISERUM,1
TIGECYCLINE,1
TIMBETASIN,1
TINENGOTINIB,1
TIQ-15,1
TOBRAMYCIN,1
ARGIPRESSIN,1
TOLVAPTAN,1
TOMINOSTAT,1
TOZASERTIB,1
TRAMETINIB DIMETHYL SULFOXIDE,1
TRICHLOROETHYLENE,1
TRIMIPRAMINE,1
TROLEANDOMYCIN,1
UBROGEPANT,1
UCB35625,1
ULOCUPLUMAB,1
UREA,1
USTEKINUMAB,1
VALPROIC ACID,1
[125I]CCL11 (HUMAN),1
[125I]CCL5 (HUMAN),1
[125I]CCL7 (HUMAN),1
[125I]CXCL12&ALPHA; (HUMAN),1
[125I]CXCL12&BETA; (HUMAN),1
[125I]OH-LVA,1
"[3H]AVP (HUMAN, MOUSE, RAT)",1
[3H]BANYU (I),1
[3H]D(CH2)5[TYR(ME)2]AVP,1
"[PHAA1,D-TYR(ET)2,LYS6,DES-GLY9]AVP",1
"[PHAA1,D-TYR(ET)2,VAL4,LYS6,TYR-NH28,DES-GLY9]AVP",1
"[PHAA1,D-TYR(ME)2,ARG6,TYR-NH29]AVP",1
"[PHAA1,D-TYR2,VAL4,ARG6,ARG-NH29]AVP",1
"[TBAA1,D-TYR(ET)2,VAL4,LYS6,ARG-NH28,DES-GLY9]AVP",1
"[THR4,GLY7]OT",1
[VAL4]AVP,1
"2-TERT-BUTYL-9-FLUORO-1,6-DIHYDROBENZO[H]IMIDAZO[4,5-F]ISOQUINOLIN-7-ONE",1
3-N3-PHPA-LVA,1
ABACAVIR,1
ACETAZOLAMIDE,1
ACETYLCYSTEINE,1
ADALIMUMAB-ADBM,1
AG-14,1
ARGIPRESTOCIN,1
ALEMTUZUMAB,1
ALPHA 1-ANTITRYPSIN,1
ALPHA-TOCOPHEROL,1
ALX40-4C,1
AMG-900,1
ASELIZUMAB,1
ASPIRIN,1
1D09C3,1
