GeneID,importance,Symbol,Description
9653,0.0013021559777167,HS2ST1,heparan sulfate 2-O-sulfotransferase 1
57609,0.0012988416988416,DIP2B,disco interacting protein 2 homolog B
115294,0.0012988416988416,PCMTD1,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
3799,0.0012988416988416,KIF5B,kinesin family member 5B
643836,0.0012983016983016,ZFP62,ZFP62 zinc finger protein
93134,0.0012983016983016,ZNF561,zinc finger protein 561
2776,0.0012978758501978,GNAQ,G protein subunit alpha q
81493,0.0012978758501978,SYNC,"syncoilin, intermediate filament protein"
51347,0.0012978758501978,TAOK3,TAO kinase 3
84188,0.0012959362618805,FAR1,fatty acyl-CoA reductase 1
9453,0.0012934242181234,GGPS1,geranylgeranyl diphosphate synthase 1
55818,0.0012934242181234,KDM3A,lysine demethylase 3A
284695,0.0012890637293469,ZNF326,zinc finger protein 326
9782,0.0012874819908651,MATR3,matrin 3
23116,0.0012874819908651,TOGARAM1,TOG array regulator of axonemal microtubules 1
79366,0.0012874819908651,HMGN5,high mobility group nucleosome binding domain 5
529,0.0012840732831291,ATP6V1E1,ATPase H+ transporting V1 subunit E1
6230,0.0012840732831291,RPS25,ribosomal protein S25
3936,0.0012830793905372,LCP1,lymphocyte cytosolic protein 1
50810,0.0012804232804232,HDGFL3,HDGF like 3
79657,0.0012759270898805,RPAP3,RNA polymerase II associated protein 3
9360,0.0012727733668283,PPIG,peptidylprolyl isomerase G
129531,0.0012685050798258,MITD1,microtubule interacting and trafficking domain containing 1
9920,0.0012685050798258,KBTBD11,kelch repeat and BTB domain containing 11
3422,0.0012634271099744,IDI1,isopentenyl-diphosphate delta isomerase 1
9403,0.0012634271099744,SELENOF,selenoprotein F
84196,0.0012549744549744,USP48,ubiquitin specific peptidase 48
5782,0.0012488630250868,PTPN12,protein tyrosine phosphatase non-receptor type 12
120892,0.0012488630250868,LRRK2,leucine rich repeat kinase 2
5885,0.0012488630250868,RAD21,RAD21 cohesin complex component
54764,0.001248374613003,ZRANB1,zinc finger RANBP2-type containing 1
9595,0.001248374613003,CYTIP,cytohesin 1 interacting protein
8564,0.0012469055770393,KMO,kynurenine 3-monooxygenase
84280,0.0012469055770393,BTBD10,BTB domain containing 10
107303344,0.0012469055770393,SETDB2-PHF11,SETDB2-PHF11 readthrough
112268097,0.0012444444444444,MYG1-AS1,MYG1 antisense RNA 1
1362,0.0012444444444444,CPD,carboxypeptidase D
81853,0.0012415228065181,TMEM14B,transmembrane protein 14B
11275,0.0012409718459437,KLHL2,kelch like family member 2
139818,0.0012364601342929,DOCK11,dedicator of cytokinesis 11
113510,0.0012364601342929,HELQ,"helicase, POLQ like"
1462,0.0012319999999999,VCAN,versican
9188,0.0012308728308728,DDX21,DExD-box helicase 21
100506365,0.0012308728308728,OTUD6B-AS1,OTUD6B antisense RNA 1 (head to head)
9448,0.0012270605488406,MAP4K4,mitogen-activated protein kinase kinase kinase kinase 4
4084,0.0012265464265464,MXD1,MAX dimerization protein 1
55331,0.001225,ACER3,alkaline ceramidase 3
8239,0.001225,USP9X,ubiquitin specific peptidase 9 X-linked
8766,0.0012241638795986,RAB11A,"RAB11A, member RAS oncogene family"
153527,0.0012241638795986,ZMAT2,zinc finger matrin-type 2
7767,0.0012224090112367,ZNF224,zinc finger protein 224
51284,0.0012187527642636,TLR7,toll like receptor 7
5663,0.0012138531013213,PSEN1,presenilin 1
79072,0.0012136222910216,FASTKD3,FAST kinase domains 3
51371,0.0012136222910216,POMP,proteasome maturation protein
7844,0.0012120312120312,RNF103,ring finger protein 103
57226,0.0012120312120312,LYRM2,LYR motif containing 2
3150,0.0012120312120312,HMGN1,high mobility group nucleosome binding domain 1
55529,0.0012120312120312,PIP4P2,"phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2"
105375532,0.0012113636363636,LOC105375532,uncharacterized LOC105375532
347736,0.0012103220385295,NME9,NME/NM23 family member 9
10491,0.0012097560975609,CRTAP,cartilage associated protein
51290,0.0012093653250773,ERGIC2,ERGIC and golgi 2
57763,0.0012093653250773,ANKRA2,ankyrin repeat family A member 2
9517,0.0012093653250773,SPTLC2,serine palmitoyltransferase long chain base subunit 2
2533,0.0012093653250773,FYB1,FYN binding protein 1
26985,0.0012093653250773,AP3M1,adaptor related protein complex 3 subunit mu 1
51109,0.0012093427349025,RDH11,retinol dehydrogenase 11
22876,0.0012093427349025,INPP5F,inositol polyphosphate-5-phosphatase F
51105,0.0012087912087912,PHF20L1,PHD finger protein 20 like 1
2483,0.0012087912087912,FRG1,FSHD region gene 1
51247,0.0012077370625617,PAIP2,poly(A) binding protein interacting protein 2
204,0.0012056032087503,AK2,adenylate kinase 2
528,0.0012056032087503,ATP6V1C1,ATPase H+ transporting V1 subunit C1
7296,0.0012050467015501,TXNRD1,thioredoxin reductase 1
54821,0.0012050467015501,ERCC6L,"ERCC excision repair 6 like, spindle assembly checkpoint helicase"
79634,0.0012024314599134,SCRN3,secernin 3
101927682,0.0012022795713285,CD81-AS1,CD81 antisense RNA 1
387778,0.0011900557126988,SPDYC,speedy/RINGO cell cycle regulator family member C
142891,0.0011889862327909,SAMD8,sterile alpha motif domain containing 8
440926,0.0011889862327909,H3P6,H3 histone pseudogene 6
53981,0.0011847933884297,CPSF2,cleavage and polyadenylation specific factor 2
9236,0.0011831097612994,CCPG1,cell cycle progression 1
64747,0.0011831097612994,MFSD1,major facilitator superfamily domain containing 1
100505641,0.0011788291900561,FGD5-AS1,FGD5 antisense RNA 1
25847,0.0011755244755244,ANAPC13,anaphase promoting complex subunit 13
105373780,0.0011755244755244,LOC105373780,proline-rich protein 18-like
10109,0.0011734693877551,ARPC2,actin related protein 2/3 complex subunit 2
83932,0.0011723772752344,SPRTN,SprT-like N-terminal domain
6016,0.0011723772752344,RIT1,Ras like without CAAX 1
